ISBN,Título,Autor,Fecha de Publicación,Precio,Disponible
978-3-16-511131-0,El Gran Gatsby,F. Scott Fitzgerald,10/04/1925,10.85,No
978-3-16-444141-0,1984,George Orwell,08/06/1949,26.69,Sí
978-3-16-691370-0,Un mundo feliz,Aldous Huxley,01/09/1932,35.59,Sí
978-3-16-835265-0,Matar a un ruiseñor,Harper Lee,11/07/1960,35.51,No
978-3-16-448689-0,El señor de los anillos,J.R.R. Tolkien,29/07/1954,31.93,No
978-3-16-491435-0,Cien años de soledad,Gabriel García Márquez,05/06/1967,36.07,Sí
978-3-16-493249-0,Fahrenheit 451,Ray Bradbury,19/10/1953,49.84,Sí
978-3-16-374955-0,La carretera,Cormac McCarthy,26/09/2006,8.65,Sí
978-3-16-645157-0,En busca del tiempo perdido,Marcel Proust,01/11/1913,43.54,No
978-3-16-765206-0,Lolita,Vladimir Nabokov,15/08/1955,37.06,Sí
978-3-16-645561-0,Crimen y castigo,Fyodor Dostoyevsky,01/01/1866,38.25,No
978-3-16-793908-0,Don Quijote de la Mancha,Miguel de Cervantes,01/01/1605,9.84,Sí
978-3-16-479000-0,Ulises,James Joyce,02/02/1922,23.94,No
978-3-16-887294-0,Dune,Frank Herbert,01/08/1965,11.75,Sí
978-3-16-701369-0,Orgullo y prejuicio,Jane Austen,28/01/1813,29.34,Sí
978-3-16-374489-0,La metamorfosis,Franz Kafka,01/10/1915,7.78,No
978-3-16-795744-0,El ruido y la furia,William Faulkner,07/10/1929,14.67,Sí
978-3-16-719532-0,Las aventuras de Huckleberry Finn,Mark Twain,18/02/1884,8.45,Sí
978-3-16-899812-0,La sombra del viento,Carlos Ruiz Zafón,17/06/2001,17.24,Sí
978-3-16-206646-0,Slaughterhouse-Five,Kurt Vonnegut,31/03/1969,42.23,No
978-3-16-742939-0,El amor en los tiempos del cólera,Gabriel García Márquez,01/04/1985,44.89,No
978-3-16-405957-0,La chica con el tatuaje de dragón,Stieg Larsson,01/06/2005,15.25,Sí
978-3-16-683811-0,Los juegos del hambre,Suzanne Collins,14/09/2008,21.63,Sí
978-3-16-909012-0,El cuento de la criada,Margaret Atwood,17/08/1985,40.8,Sí
978-3-16-392611-0,La chica del tren,Paula Hawkins,13/01/2015,8.34,No
978-3-16-696209-0,Lo que el viento se llevó,Margaret Mitchell,30/06/1936,9.58,Sí
978-3-16-597052-0,El nombre del viento,Patrick Rothfuss,27/03/2007,27.19,Sí
978-3-16-534649-0,Los pilares de la tierra,Ken Follett,01/09/1989,15.97,No
978-8-49-989373-0,Un mundo sin fin,Ken Follett,12/01/2012,15.97,No
978-8-46-635105-8,Una columna de fuego,Ken Follett,16/07/2020,15.97,No
978-3-16-982362-0,El código Da Vinci,Dan Brown,18/03/2003,29.81,No
